res	var	per	id	start	end	ismeta	path
soil	daily	historical	2174	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2174.txt.gz
soil	daily	historical	2201	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2201.txt.gz
soil	daily	historical	2211	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2211.txt.gz
soil	daily	historical	222	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_222.txt.gz
soil	daily	historical	2252	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2252.txt.gz
soil	daily	historical	2261	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2261.txt.gz
soil	daily	historical	2290	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2290.txt.gz
soil	daily	historical	2303	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2303.txt.gz
soil	daily	historical	2306	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2306.txt.gz
soil	daily	historical	2315	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2315.txt.gz
soil	daily	historical	2319	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2319.txt.gz
soil	daily	historical	232	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_232.txt.gz
soil	daily	historical	2323	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2323.txt.gz
soil	daily	historical	2362	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2362.txt.gz
soil	daily	historical	2385	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2385.txt.gz
soil	daily	historical	2410	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2410.txt.gz
soil	daily	historical	2429	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2429.txt.gz
soil	daily	historical	2437	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2437.txt.gz
soil	daily	historical	2444	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2444.txt.gz
soil	daily	historical	2480	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2480.txt.gz
soil	daily	historical	2483	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2483.txt.gz
soil	daily	historical	2485	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2485.txt.gz
soil	daily	historical	2486	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2486.txt.gz
soil	daily	historical	2497	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2497.txt.gz
soil	daily	historical	2542	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2542.txt.gz
soil	daily	historical	2559	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2559.txt.gz
soil	daily	historical	2564	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2564.txt.gz
soil	daily	historical	257	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_257.txt.gz
soil	daily	historical	2575	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2575.txt.gz
soil	daily	historical	2578	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2578.txt.gz
soil	daily	historical	259	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_259.txt.gz
soil	daily	historical	2597	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2597.txt.gz
soil	daily	historical	2600	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2600.txt.gz
soil	daily	historical	2601	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2601.txt.gz
soil	daily	historical	2618	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2618.txt.gz
soil	daily	historical	2627	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2627.txt.gz
soil	daily	historical	2629	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2629.txt.gz
soil	daily	historical	2638	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2638.txt.gz
soil	daily	historical	2641	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2641.txt.gz
soil	daily	historical	2667	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2667.txt.gz
soil	daily	historical	2680	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2680.txt.gz
soil	daily	historical	2700	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2700.txt.gz
soil	daily	historical	2704	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2704.txt.gz
soil	daily	historical	2708	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2708.txt.gz
soil	daily	historical	2712	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2712.txt.gz
soil	daily	historical	2750	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2750.txt.gz
soil	daily	historical	2773	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2773.txt.gz
soil	daily	historical	2794	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2794.txt.gz
soil	daily	historical	2796	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2796.txt.gz
soil	daily	historical	2812	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2812.txt.gz
soil	daily	historical	2814	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2814.txt.gz
soil	daily	historical	282	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_282.txt.gz
soil	daily	historical	2829	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2829.txt.gz
soil	daily	historical	2856	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2856.txt.gz
soil	daily	historical	2878	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2878.txt.gz
soil	daily	historical	2886	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2886.txt.gz
soil	daily	historical	2905	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2905.txt.gz
soil	daily	historical	2907	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2907.txt.gz
soil	daily	historical	2925	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2925.txt.gz
soil	daily	historical	2928	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2928.txt.gz
soil	daily	historical	2932	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2932.txt.gz
soil	daily	historical	294	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_294.txt.gz
soil	daily	historical	2947	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2947.txt.gz
soil	daily	historical	2951	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2951.txt.gz
soil	daily	historical	2953	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2953.txt.gz
soil	daily	historical	2968	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2968.txt.gz
soil	daily	historical	298	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_298.txt.gz
